Wall time,Step,Value
1534744428.882488,45428,0.1542634814977646
1534744430.478815,45479,0.1541510820388794
1534744434.535206,45608,0.15386450290679932
1534744436.533979,45672,0.15372207760810852
1534744436.56514,45673,0.15371984243392944
1534744437.624087,45706,0.15364612638950348
1534744453.600334,46211,0.15251359343528748
1534744455.853658,46283,0.15235094726085663
1534744456.099239,46291,0.15233299136161804
1534744456.322383,46298,0.15231724083423615
1534744459.168552,46388,0.15211552381515503
1534744459.390866,46395,0.15209975838661194
1534744461.053176,46448,0.15198181569576263
1534744461.493743,46462,0.1519506573677063
1534744462.142806,46483,0.15190385282039642
1534744465.395715,46587,0.15167082846164703
1534744466.786838,46631,0.15157251060009003
1534744476.946042,46954,0.15085719525814056
1534744482.372898,47123,0.1504870057106018
1534744482.978745,47142,0.1504453867673874
1534744484.882133,47202,0.15031452476978302
1534744486.025049,47239,0.1502344310283661
1534744498.212546,47626,0.14939665794372559
1534744523.373644,48422,0.1476355940103531
1534744524.034402,48443,0.14758887887001038
1534744529.458713,48616,0.14720480144023895
1534744530.797619,48658,0.14711254835128784
1534744531.51854,48681,0.14706222712993622
1534744532.05605,48698,0.1470249891281128
1534744535.818166,48817,0.14676634967327118
1534744543.912807,49072,0.1462167352437973
1534744545.640052,49127,0.14609913527965546
1534744546.637619,49159,0.1460305005311966
1534744550.016507,49266,0.14580084383487701
1534744550.580584,49283,0.14576439559459686
1534744552.883686,49357,0.14560537040233612
1534744555.764241,49449,0.14540907740592957
1534744557.681062,49510,0.14527900516986847
1534744559.345987,49563,0.14516699314117432
1534744565.186939,49748,0.1447755992412567
1534744567.174364,49811,0.14464282989501953
1534744569.775954,49894,0.14446863532066345
1534744571.557276,49950,0.14435121417045593
1534744574.159938,50030,0.1441829651594162
1534744575.599038,50076,0.1440865695476532
1534744576.172889,50094,0.14404888451099396
1534744577.534505,50138,0.14395679533481598
1534744577.564521,50139,0.14395466446876526
1534744578.2272,50160,0.14391052722930908
1534744579.077146,50187,0.14385360479354858
1534744580.553982,50234,0.14375416934490204
1534744587.194754,50445,0.14330892264842987
1534744588.179854,50476,0.14324384927749634
1534744590.729437,50557,0.14307339489459991
1534744590.888843,50562,0.14306285977363586
1534744594.182722,50666,0.14284589886665344
1534744595.734326,50715,0.1427442878484726
1534744597.38533,50768,0.14263451099395752
1534744606.574595,51054,0.142048642039299
1534744606.920333,51065,0.14202603697776794
1534744608.34861,51110,0.14193382859230042
1534744614.185513,51296,0.14155378937721252
1534744615.418643,51335,0.14147453010082245
1534744616.221539,51360,0.14142371714115143
1534744624.58474,51627,0.1408863663673401
1534744627.439554,51718,0.14070431888103485
1534744628.413357,51749,0.14064256846904755
1534744631.755054,51855,0.1404324173927307
1534744633.50979,51911,0.14032161235809326
1534744651.463967,52475,0.13922321796417236
1534744652.892713,52520,0.13913802802562714
1534744653.019553,52524,0.13913050293922424
1534744663.675113,52864,0.1384895294904709
1534744668.438769,53013,0.13820861279964447
1534744670.243174,53070,0.1381016969680786
1534744677.527841,53301,0.13766950368881226
1534744679.616836,53368,0.1375436931848526
1534744681.479871,53427,0.13743332028388977
1534744681.918217,53441,0.137407124042511
1534744684.686089,53529,0.13724301755428314
1534744685.335175,53550,0.13720393180847168
1534744688.489711,53651,0.13701647520065308
1534744689.3424,53678,0.13696643710136414
1534744689.872844,53695,0.13693498075008392
1534744690.02785,53700,0.13692571222782135
1534744692.917036,53792,0.13675537705421448
1534744693.135221,53798,0.13674437999725342
1534744693.492631,53809,0.13672396540641785
1534744699.028132,53986,0.1363975703716278
1534744700.9205,54043,0.13629186153411865
1534744704.771275,54165,0.13606610894203186
1534744709.628539,54320,0.13578087091445923
1534744713.287407,54436,0.135568767786026
1534744713.714757,54449,0.13554513454437256
1534744715.569513,54508,0.13543742895126343
1534744717.167772,54559,0.13534408807754517
1534744724.364468,54788,0.13492467999458313
1534744724.758645,54800,0.13490264117717743
1534744728.533496,54920,0.13468478620052338
1534744729.067181,54937,0.1346540004014969
1534744732.175974,55033,0.13447913527488708
1534744738.553251,55235,0.13411009311676025
1534744741.987513,55344,0.13391254842281342
1534744743.94205,55406,0.1337999403476715
1534744746.684176,55492,0.13364380598068237
1534744749.535923,55583,0.1334787905216217
1534744755.692838,55779,0.13312619924545288
1534744761.825351,55974,0.13278380036354065
1534744765.070662,56072,0.1326141059398651
1534744766.605961,56121,0.13252970576286316
1534744768.20002,56172,0.13244113326072693
1534744768.710561,56188,0.1324133276939392
1534744772.925721,56323,0.13217972218990326
1534744783.936919,56674,0.13157151639461517
1534744784.315875,56686,0.13155093789100647
1534744784.566628,56694,0.1315373331308365
1534744787.934341,56800,0.13135667145252228
1534744790.382036,56877,0.13122597336769104
1534744791.806736,56923,0.13114774227142334
1534744794.493223,57006,0.13100676238536835
1534744799.02454,57150,0.13076184689998627
1534744802.28971,57253,0.13058766722679138
1534744806.848152,57397,0.13034534454345703
1534744810.946856,57528,0.13012510538101196
1534744816.864492,57715,0.129810631275177
1534744817.891841,57748,0.1297553926706314
1534744819.596162,57802,0.1296646147966385
1534744822.032468,57879,0.12953466176986694
1534744822.50485,57894,0.12950918078422546
1534744823.743062,57933,0.12944287061691284
1534744826.710139,58024,0.12928912043571472
1534744828.122574,58069,0.1292129009962082
1534744831.868131,58188,0.129010409116745
1534744834.44879,58270,0.12887097895145416
1534744834.51391,58272,0.12886756658554077
1534744834.942722,58286,0.12884359061717987
1534744844.577643,58592,0.12832863628864288
1534744850.372401,58776,0.12802089750766754
1534744852.07256,58830,0.12793080508708954
1534744853.802568,58885,0.12783928215503693
1534744854.428713,58905,0.1278059333562851
1534744859.299092,59056,0.1275566816329956
1534744859.650764,59067,0.12753866612911224
1534744863.163286,59179,0.1273554265499115
1534744863.788351,59199,0.12732289731502533
1534744866.958049,59300,0.12715964019298553
1534744870.238726,59405,0.12699078023433685
1534744872.821876,59488,0.1268579661846161
1534744874.169239,59531,0.12678968906402588
1534744876.527103,59606,0.1266707479953766
1534744883.925279,59840,0.12630195915699005
1534744885.950729,59905,0.12619997560977936
1534744886.825029,59933,0.1261560171842575
1534744893.091787,60130,0.12584899365901947
1534744897.837198,60281,0.1256144940853119
1534744900.660764,60370,0.12547580897808075
1534744901.781122,60406,0.12542015314102173
1534744905.310565,60519,0.12524549663066864
1534744906.314153,60551,0.12519612908363342
1534744907.561917,60591,0.12513457238674164
1534744920.958178,61010,0.12449515610933304
1534744921.823874,61037,0.12445436418056488
1534744922.826071,61069,0.12440618872642517
1534744923.762547,61099,0.12436111271381378
1534744925.30063,61148,0.12428749352693558
1534744930.621847,61316,0.12403525412082672
1534744946.49045,61815,0.12329830229282379
1534744946.678242,61821,0.1232895627617836
1534744947.573995,61850,0.12324703484773636
1534744949.19957,61901,0.12317276000976562
1534744950.504527,61943,0.12311182916164398
1534744951.607121,61978,0.12306129187345505
1534744960.313409,62252,0.12266489118337631
1534744961.009081,62274,0.1226334199309349
1534744962.016384,62306,0.12258777767419815
1534744966.659369,62454,0.12237890064716339
1534744967.461023,62480,0.12234203517436981
1534744970.472305,62575,0.12220709770917892
1534744975.176602,62725,0.12199433147907257
1534744976.185768,62757,0.12194902449846268
1534744981.874176,62937,0.12169554084539413
1534744985.568415,63052,0.12153328955173492
1534744986.685923,63088,0.12148261070251465
1534744988.138769,63134,0.1214180663228035
1534744988.482025,63145,0.12140268087387085
1534744990.117699,63197,0.12133008986711502
1534744990.841071,63220,0.12129790335893631
1534744993.855239,63317,0.12116250395774841
1534744995.384357,63366,0.12109420448541641
1534745000.345246,63524,0.12087298184633255
1534745011.804948,63889,0.120363749563694
1534745013.971177,63958,0.12026830017566681
1534745015.754103,64012,0.12019385397434235
1534745016.632587,64040,0.12015543133020401
1534745016.818979,64046,0.12014718353748322
1534745029.531681,64450,0.11959686130285263
1534745036.231567,64664,0.1193087100982666
1534745038.23057,64727,0.11922423541545868
1534745038.57264,64738,0.11920948326587677
1534745044.540369,64928,0.11895707994699478
1534745044.76189,64935,0.11894785612821579
1534745050.819857,65125,0.11869916319847107
1534745051.428664,65144,0.11867447197437286
1534745051.494553,65146,0.11867184937000275
1534745054.375893,65238,0.11855240911245346
1534745057.394936,65334,0.11842802166938782
1534745057.890174,65350,0.11840734630823135
1534745061.246784,65456,0.11826930940151215
1534745065.592461,65594,0.11809031665325165
1534745066.907959,65636,0.11803571879863739
1534745067.996646,65671,0.11799030005931854
1534745078.623754,66006,0.11755583435297012
1534745080.017908,66050,0.11749927699565887
1534745087.500205,66288,0.11719268560409546
1534745089.560508,66353,0.11710832267999649
1534745092.831423,66457,0.1169729009270668
1534745095.209758,66533,0.11687425523996353
1534745096.136014,66563,0.11683555692434311
1534745096.440712,66573,0.116822749376297
1534745097.434875,66604,0.11678306758403778
1534745102.827115,66775,0.11656610667705536
1534745104.764392,66837,0.11648786813020706
1534745108.161007,66944,0.11635365337133408
1534745112.658201,67082,0.11618003994226456
1534745117.002738,67220,0.11600799858570099
1534745119.010464,67284,0.11592908203601837
1534745128.550606,67587,0.11555887013673782
1534745132.780884,67722,0.11539636552333832
1534745134.570257,67779,0.11532813310623169
1534745141.355094,67995,0.1150687038898468
1534745141.454757,67998,0.1150650605559349
1534745144.713756,68099,0.11494269222021103
1534745146.721073,68163,0.11486469209194183
1534745155.298294,68436,0.11452923715114594
1534745155.730398,68450,0.11451206356287003
1534745156.821085,68485,0.11446895450353622
1534745158.310588,68532,0.1144104078412056
1534745166.955917,68806,0.11406989395618439
1534745168.339531,68850,0.11401508003473282
1534745172.548382,68984,0.11384935677051544
1534745173.473008,69011,0.1138162612915039
1534745173.502384,69012,0.11381499469280243
1534745176.418686,69105,0.11370065808296204
1534745186.062404,69411,0.11332973837852478
1534745193.215427,69638,0.11305687576532364
1534745194.276279,69672,0.113016277551651
1534745195.595606,69714,0.1129661351442337
1534745202.059611,69920,0.11272087693214417
1534745202.760658,69942,0.11269450932741165
1534745204.268884,69990,0.11263695359230042
1534745204.833835,70005,0.11261890083551407
1534745204.994033,70010,0.11261287331581116
1534745210.536673,70186,0.11240001767873764
1534745211.862975,70228,0.11234930157661438
1534745227.072046,70712,0.11176743358373642
1534745227.847708,70737,0.1117379367351532
1534745228.910248,70771,0.11169800907373428
1534745229.080229,70776,0.11169202625751495
1534745236.797207,71015,0.11140922456979752
1534745237.745804,71045,0.1113741472363472
1534745242.111608,71184,0.11121144890785217
1534745243.584825,71231,0.11115652322769165
1534745246.671619,71329,0.1110415905714035
1534745247.504817,71356,0.11100998520851135
1534745255.973043,71624,0.11070027947425842
1534745256.663027,71646,0.11067506670951843
1534745260.779326,71777,0.11052505671977997
1534745262.479364,71831,0.11046283692121506
1534745263.67889,71869,0.11041901260614395
1534745266.762228,71967,0.1103060245513916
1534745266.8261,71969,0.11030370742082596
1534745273.461231,72175,0.11006534844636917
1534745274.368113,72204,0.11003182083368301
1534745275.193293,72230,0.11000190675258636
1534745275.573618,72242,0.10998815298080444
1534745279.610794,72372,0.1098376214504242
1534745280.969832,72415,0.1097879409790039
1534745282.375491,72459,0.10973747074604034
1534745283.758011,72503,0.10968735069036484
1534745293.213496,72803,0.10934819281101227
1534745304.694323,73166,0.10894771665334702
1534745304.722903,73167,0.10894665122032166
1534745304.877127,73172,0.10894115269184113
1534745315.157394,73499,0.10858533531427383
1534745324.031233,73782,0.1082712858915329
1534745326.182097,73850,0.10819557309150696
1534745327.889434,73904,0.1081356331706047
1534745331.205242,74007,0.10802160948514938
1534745331.45104,74015,0.10801275074481964
1534745333.108785,74067,0.10795490443706512
1534745337.05866,74192,0.10781629383563995
1534745337.84712,74217,0.1077888011932373
1534745341.578236,74336,0.10765807330608368
1534745347.250095,74516,0.1074618548154831
1534745352.133515,74671,0.10729463398456573
1534745356.924835,74822,0.10713203251361847
1534745359.75324,74912,0.10703540593385696
1534745364.099133,75046,0.1068909540772438
1534745370.466753,75249,0.10667113959789276
1534745371.822948,75292,0.1066240593791008
1534745372.39396,75310,0.10660447180271149
1534745390.750718,75893,0.10596994310617447
1534745394.660816,76013,0.10583961755037308
1534745399.725008,76175,0.10566359758377075
1534745399.852954,76179,0.10565920174121857
1534745399.958949,76182,0.10565601289272308
1534745400.178762,76189,0.1056484803557396
1534745401.124886,76219,0.10561621934175491
1534745405.117842,76346,0.10547968745231628
1534745408.462647,76452,0.10536618530750275
